Date,Price,Open,High,Low,Vol_BTC,Vol_USD,retornos
2018-08-12,6943,7027,7143,6852,168870.0,"1,172,464,410",-0.145
2018-08-19,6255,6313,6524,6159,234090.0,"1,464,232,950",-0.102
2018-08-26,6268,6474,6516,6255,3100.0,"19,430,800",0.026
2018-09-02,6897,6712,6902,6650,3260.0,"22,484,220",0.037
2018-09-09,7264,7289,7330,7182,3870.0,"28,111,680",0.086
2018-09-16,6321,6238,6358,6237,3110.0,"19,658,310",-0.144
2018-09-23,6251,6500,6533,6215,3260.0,"20,378,260",0.042
2018-09-30,6584,6713,6728,6559,7570.0,"49,840,880",0.033
2018-10-07,6608,6635,6674,6072,9190.0,"60,727,520",-0.012
2018-10-14,6669,6611,6699,6589,119680.0,"798,145,920",-0.004
2018-10-21,6699,6326,7358,6300,443330.0,"2,969,867,670",-0.043
2018-10-28,6555,6583,6612,6529,101570.0,"665,791,350",0.041
2018-11-04,6335,6486,6498,6310,160520.0,"1,016,894,200",-0.015
2018-11-11,6459,6478,6489,6431,128509.99999999999,"830,046,090",-0.001
2018-11-18,6435,6445,6475,6409,130160.0,"837,579,600",-0.005
2018-11-25,4883,5660,5662,4831,478260.0,"2,335,343,580",-0.122
2018-12-02,3837,4061,4179,3679,571040.0,"2,191,080,480",-0.283
2018-12-09,3897,4160,4177,3839,355100.0,"1,383,824,700",0.024
2018-12-16,3460,3566,3622,3412,394490.0,"1,364,935,400",-0.143
2018-12-23,3526,3248,3597,3243,534780.0,"1,885,634,280",-0.089
2018-12-30,4026,3944,4208,3941,716290.0,"2,883,783,540",0.214
2019-01-06,3709,3815,3819,3658,545830.0,"2,024,483,470",-0.033
2019-01-13,3985,4004,4028,3945,500880.0,"1,996,006,800",0.05
2019-01-20,3638,3490,3672,3490,539930.0,"1,964,265,340",-0.128
2019-01-27,3536,3542,3561,3505,394170.0,"1,393,785,120",0.015
2019-02-03,3442,3555,3561,3395,620850.0,"2,136,965,700",0.004
2019-02-10,3462,3459,3479,3437,503920.0,"1,744,571,040",-0.027
2019-02-17,3631,3678,3681,3623,517280.0,"1,878,243,680",0.063
2019-02-24,3896,3664,3903,3655,933150.0,"3,635,552,400",-0.004
2019-03-03,3833,3755,3870,3753,765870.0,"2,935,579,710",0.025
2019-03-10,3715,3809,3828,3681,2850.0,"10,587,750",0.014
2019-03-17,3870,3915,3935,3842,3190.0,"12,345,300",0.028
2019-03-24,3990,3981,4032,3958,2620.0,"10,453,800",0.017
2019-03-31,3937,3994,4000,3897,2860.0,"11,259,820",0.003
2019-04-07,4145,4102,4159,4076,3220.0,"13,346,900",0.027
2019-04-14,5245,5173,5300,5060,928230.0,"4,868,566,350",0.261
2019-04-21,5032,5135,5168,4964,688200.0,"3,463,022,400",-0.007
2019-04-28,5346,5248,5370,5170,920770.0,"4,922,436,420",0.022
2019-05-05,5235,5302,5322,5188,775820.0,"4,061,417,700",0.01
2019-05-12,5745,5775,5801,5630,755390.0,"4,339,715,550",0.089
2019-05-19,7806,6984,8058,6893,1200.0,"9,367,200",0.209
2019-05-26,7965,8156,8156,7604,958810.0,"7,636,921,650",0.168
2019-06-02,8760,8628,8902,8607,907960.0,"7,953,729,600",0.058
2019-06-09,8124,8728,8734,8102,739450.0,"6,007,291,800",0.012
2019-06-16,7987,7635,8012,7523,641380.0,"5,122,702,060",-0.125
2019-06-23,9318,8961,9438,8959,738800.0,"6,884,138,400",0.174
2019-06-30,11046,10897,11114,10622,566960.0,"6,262,640,160",0.216
2019-07-07,10616,10821,11254,10041,1040.0,"11,040,640",-0.007
2019-07-14,12252,11415,12332,11304,695600.0,"8,522,491,200",0.055
2019-07-21,10845,10199,11064,9885,956520.0,"10,373,459,400",-0.107
2019-07-28,10412,10715,10806,10196,591270.0,"6,156,303,240",0.051
2019-08-04,9580,9728,9835,9502,510900.0,"4,894,422,000",-0.092
2019-08-11,11816,10934,11922,10934,769630.0,"9,093,948,080",0.124
2019-08-18,11394,11505,11508,11267,391080.0,"4,455,965,520",0.052
2019-08-25,10910,10312,10923,10267,519010.0,"5,662,399,100",-0.104
2019-09-01,10371,10136,10568,10136,568770.0,"5,898,713,670",-0.017
2019-09-08,10348,9728,10431,9720,542790.0,"5,616,790,920",-0.04
2019-09-15,10309,10402,10478,10095,473760.0,"4,883,991,840",0.069
2019-09-22,10255,10311,10360,10108,372530.0,"3,820,295,150",-0.009
2019-09-29,9702,10031,10048,9656,431100.0,"4,182,532,200",-0.027
2019-10-06,8284,8048,8318,7749,600260.0,"4,972,553,840",-0.198
2019-10-13,8198,7882,8293,7797,604740.0,"4,957,658,520",-0.021
2019-10-20,8353,8281,8374,8222,505020.0,"4,218,432,060",0.051
2019-10-27,8208,8224,8315,8155,489400.0,"4,016,995,200",-0.007
2019-11-03,9207,9530,9866,9202,1040.0,"9,575,280",0.159
2019-11-10,9396,9198,9500,9134,681010.0,"6,398,769,960",-0.035
2019-11-17,8736,9036,9066,8649,601160.0,"5,251,733,760",-0.018
2019-11-24,8208,8510,8516,8110,692600.0,"5,684,860,800",-0.058
2019-12-01,7115,6924,7352,6534,1290.0,"9,178,350",-0.186
2019-12-08,7298,7395,7433,7173,687780.0,"5,019,418,440",0.068
2019-12-15,7355,7524,7626,7321,648660.0,"4,770,894,300",0.017
2019-12-22,6903,7128,7153,6864,689560.0,"4,760,032,680",-0.053
2019-12-29,7322,7496,7684,7276,952160.0,"6,971,715,520",0.052
2020-01-05,7261,7397,7420,7244,606110.0,"4,400,964,710",-0.013
2020-01-12,7759,7372,7783,7366,786750.0,"6,104,393,250",-0.003
2020-01-19,8111,8188,8196,8068,610660.0,"4,953,063,260",0.111
2020-01-26,8641,8705,8740,8539,599060.0,"5,176,477,460",0.063
2020-02-02,8866,8608,8983,8585,706450.0,"6,263,385,700",-0.011
2020-02-09,9296,9334,9582,9243,701390.0,"6,520,121,440",0.084
2020-02-16,9854,10151,10181,9774,781220.0,"7,698,141,880",0.088
2020-02-23,9701,9931,9951,9468,961880.0,"9,331,197,880",-0.022
2020-03-01,9662,9943,9981,9507,980000.0,"9,468,760,000",0.001
2020-03-08,8904,8537,8961,8503,1020.0,"9,082,080",-0.141
2020-03-15,7933,8035,8158,7648,1540.0,"12,216,820",-0.059
2020-03-22,5030,5366,5369,4477,2550.0,"12,826,500",-0.332
2020-03-29,6468,5822,6564,5710,1880.0,"12,159,840",0.085
2020-04-05,6391,5890,6576,5872,1430.0,"9,139,130",0.012
2020-04-12,7332,6772,7335,6770,1530.0,"11,217,960",0.15
2020-04-19,6841,6918,6920,6618,1250.0,"8,551,250",0.022
2020-04-26,6833,7122,7207,6771,1260.0,"8,609,580",0.029
2020-05-03,7766,7679,7768,7637,980500.0,"7,614,563,000",0.078
2020-05-10,8874,8885,8945,8553,1120.0,"9,938,880",0.157
2020-05-17,8579,8737,9129,8235,2290.0,"19,645,910",-0.017
2020-05-24,9730,9678,9930,9524,1180.0,"11,481,400",0.108
2020-05-31,8898,8728,8959,8666,941890.0,"8,380,937,220",-0.098
2020-06-07,10189,9454,10301,9429,796680.0,"8,117,372,520",0.083
2020-06-14,9777,9743,9788,9662,431040.0,"4,214,278,080",0.031
2020-06-21,9425,9345,9489,8925,750900.0,"7,077,232,500",-0.041
2020-06-28,9683,9296,9751,9285,523320.00000000006,"5,067,307,560",-0.005
2020-07-05,9185,9122,9229,9033,401120.0,"3,684,287,200",-0.019
2020-07-12,9339,9080,9363,9063,510270.0,"4,765,411,530",-0.005
2020-07-19,9243,9300,9329,9207,456870.0,"4,222,849,410",0.024
2020-07-26,9162,9208,9218,9139,312980.0,"2,867,522,760",-0.01
2020-08-02,11022,9932,11367,9894,908990.0,"10,018,887,780",0.079
2020-08-09,11224,11066,11461,10981,470240.0,"5,277,973,760",0.114
2020-08-16,11889,11681,12041,11546,564110.0,"6,706,703,790",0.056
2020-08-23,12282,11898,12444,11764,628410.0,"7,718,131,620",0.019
2020-08-30,11753,11641,11824,11587,429130.0,"5,043,564,890",-0.022
2020-09-06,11644,11701,11760,11563,496140.0,"5,777,054,160",0.005
2020-09-13,10376,10296,10400,9887,12400.0,"128,662,400",-0.12
2020-09-20,10675,10332,10744,10264,96640.0,"1,031,632,000",0.003
2020-09-27,10416,10919,10987,10328,109850.0,"1,144,197,600",0.057
2020-10-04,10693,10776,10946,10685,72290.0,"772,996,970",-0.013
2020-10-11,10789,10672,10789,10623,48860.0,"527,150,540",-0.01
2020-10-18,11533,11370,11715,11227,84020.0,"969,002,660",0.065
2020-10-25,11753,11507,11823,11413,73040.0,"858,439,120",0.012
2020-11-01,13061,13033,13229,12792,89470.0,"1,168,567,670",0.133
2020-11-08,13561,13759,13828,13214,97760.0,"1,325,723,360",0.056
2020-11-15,15327,15483,15819,14816,165040.0,"2,529,568,080",0.125
2020-11-22,16715,15954,16880,15870,118090.0,"1,973,874,350",0.03
2020-11-29,18379,18428,18756,18016,127350.0,"2,340,565,650",0.155
2020-12-06,19698,18186,19831,18186,185590.0,"3,655,751,820",-0.013
2020-12-13,19170,19368,19424,18908,61980.0,"1,188,156,600",0.065
2020-12-20,19273,19176,19346,19007,67110.0,"1,293,411,030",-0.01
2020-12-27,22728,23474,24101,22015,154690.0,"3,515,794,320",0.224
2021-01-03,27057,26259,27444,26144,126980.0,"3,435,697,860",0.119
2021-01-10,32022,33016,33587,28204,255270.0,"8,174,255,940",0.257
2021-01-17,35544,38195,38217,30411,251040.0,"8,922,965,760",0.157
2021-01-24,36613,35838,37436,34801,111520.0,"4,083,081,760",-0.062
2021-01-31,32252,32244,34854,31967,142430.0,"4,593,652,360",-0.1
2021-02-07,33515,33106,34685,32324,126320.0,"4,233,614,800",0.027
2021-02-14,46395,38853,46596,38057,248470.0,"11,527,765,650",0.174
2021-02-21,47936,48611,48936,45786,123180.0,"5,904,756,480",0.251
2021-02-28,54111,57437,57480,48353,244950.0,"13,254,489,450",0.182
2021-03-07,49595,45160,49774,45008,137520.0,"6,820,304,400",-0.214
2021-03-14,52311,50988,52384,49338,68140.0,"3,564,471,540",0.129
2021-03-21,55791,59117,60565,55088,117710.0,"6,567,158,610",0.159
2021-03-28,54158,57379,58379,53784,95530.0,"5,173,713,740",-0.029
2021-04-04,57616,55764,58392,54951,107910.0,"6,217,342,560",-0.028
2021-04-11,58993,58202,59205,56842,54130.0,"3,193,291,090",0.044
2021-04-18,59863,59982,61259,59569,81880.0,"4,901,582,440",0.031
2021-04-25,55646,56208,57517,54272,117510.0,"6,538,961,460",-0.063
2021-05-02,54020,48963,54320,48815,129759.99999999999,"7,009,635,200",-0.129
2021-05-09,57169,56605,58925,56562,89240.0,"5,101,761,560",0.156
2021-05-16,55848,58251,59523,53678,142610.0,"7,964,483,280",0.029
2021-05-23,43541,46424,46545,42201,274760.0,"11,963,325,160",-0.203
2021-05-30,38750,34720,39851,34474,244880.0,"9,489,100,000",-0.252
2021-06-06,37298,35644,37480,34213,131700.0,"4,912,146,600",0.027
2021-06-13,33578,35815,36754,33410,119500.0,"4,012,571,000",0.005
2021-06-20,40529,39024,40970,38769,157350.0,"6,377,238,150",0.09
2021-06-27,31692,35597,35708,31284,256870.0,"8,140,724,040",-0.088
2021-07-04,34475,34682,35231,33944,112000.0,"3,861,200,000",-0.026
2021-07-11,33687,35297,35300,33164,88360.0,"2,976,583,320",0.018
2021-07-18,33113,34228,34598,32662,63240.0,"2,094,066,120",-0.03
2021-07-25,30837,31782,31887,30478,77480.0,"2,389,250,760",-0.071
2021-08-01,37276,35392,40522,35236,177630.0,"6,621,335,880",0.114
2021-08-08,39168,39869,40449,38692,74810.0,"2,930,158,080",0.126
2021-08-15,46284,43794,46460,42824,117080.0,"5,418,930,720",0.098
2021-08-22,45996,46991,48002,45672,2410.0,"110,850,360",0.073
2021-08-29,49539,49255,50498,49038,75370.0,"3,733,754,430",0.048
2021-09-05,46992,48777,48886,46876,61680.0,"2,898,466,560",-0.01
2021-09-12,52672,51769,52726,51002,69460.0,"3,658,597,120",0.061
2021-09-19,44949,46060,46807,43463,96150.0,"4,321,846,350",-0.11
2021-09-26,42870,47240,47323,42547,77960.0,"3,342,145,200",0.026
2021-10-03,42172,43200,44293,42143,54120.0,"2,282,348,640",-0.086
2021-10-10,49227,48200,49481,46958,66920.0,"3,294,270,840",0.116
2021-10-17,57477,54686,57814,54457,73840.0,"4,244,101,680",0.135
2021-10-24,62056,61525,62623,60026,80150.0,"4,973,788,400",0.125
2021-10-31,63067,60864,63694,60655,51060.0,"3,220,201,020",-0.011
2021-11-07,60915,61310,62430,59612,61210.0,"3,728,607,150",0.007
2021-11-14,67527,63276,67763,63276,81080.0,"5,475,089,160",0.032
2021-11-21,63597,65514,66311,63439,53530.0,"3,404,347,410",0.035
2021-11-28,56308,58719,59288,55656,76450.0,"4,304,746,600",-0.104
2021-12-05,57794,57288,58855,56726,58650.0,"3,389,618,100",-0.024
2021-12-12,50562,49412,50913,47237,89680.0,"4,534,400,160",-0.137
2021-12-19,46703,50075,50196,45848,80370.0,"3,753,520,110",0.013
2021-12-26,46895,46703,47488,45577,57530.0,"2,697,869,350",-0.067
2022-01-02,50678,50783,52016,50459,43900.0,"2,224,764,200",0.087
2022-01-09,46430,47293,47556,45704,41060.0,"1,906,415,800",-0.069
2022-01-16,41832,41848,42243,39697,85500.0,"3,576,636,000",-0.115
2022-01-23,42209,43080,43179,41559,41440.0,"1,749,140,960",0.029
2022-01-30,36686,36268,37424,32985,153770.0,"5,641,206,220",-0.158
2022-02-06,38498,37923,38701,36672,61270.0,"2,358,772,460",0.046
2022-02-13,43833,42385,44468,41695,76600.0,"3,357,607,800",0.118
2022-02-20,42550,42061,42799,41591,53600.0,"2,280,680,000",-0.008
2022-02-27,37017,38355,39444,36868,91820.0,"3,398,900,940",-0.088
2022-03-06,43188,37707,43977,37458,108070.0,"4,667,327,160",-0.017
2022-03-13,38024,38420,39532,37182,3020.0,"114,832,480",0.019
2022-03-20,39671,37789,39914,37613,2330.0,"92,433,430",-0.016
2022-03-27,41022,41282,41532,40530,406620.0,"16,680,365,640",0.092
2022-04-03,47105,46859,48199,46672,610270.0,"28,746,768,350",0.135
2022-04-10,46629,46407,46899,45152,446120.0,"20,802,129,480",-0.01
2022-04-17,39497,42144,42418,39202,608380.0,"24,029,184,860",-0.092
2022-04-24,40803,39700,41095,38577,484260.0,"19,759,260,780",-0.058
2022-05-01,40427,39464,40599,38233,654600.0,"26,463,514,200",-0.006
2022-05-08,38514,38472,39134,38061,580790.0,"22,368,546,060",-0.025
2022-05-15,30095,34041,34227,30095,268090.0,"8,068,168,550",-0.115
2022-05-22,29849,31308,31312,29135,100250.0,"2,992,362,250",-0.08
2022-05-29,29093,30287,30644,28913,92100.0,"2,679,465,300",-0.033
2022-06-05,31723,29465,32185,29307,129560.0,"4,110,031,880",-0.027
2022-06-12,31367,29911,31753,29888,94010.0,"2,948,811,670",0.015
2022-06-19,22448,26606,26857,22006,379260.0,"8,513,628,480",-0.11
2022-06-26,20572,20576,20996,19658,140600.0,"2,892,423,200",-0.227
2022-07-03,20730,21037,21497,20568,84690.0,"1,755,623,700",0.022
2022-07-10,20215,19310,20303,19052,92790.0,"1,875,749,850",-0.082
2022-07-17,19963,20847,20855,19897,160200.0,"3,198,072,600",0.08
2022-07-24,22525,20785,22714,20770,279720.0,"6,300,693,000",-0.003
2022-07-31,21301,22582,22653,21275,206930.0,"4,407,815,930",0.086
2022-08-07,23271,23303,23484,22863,162330.0,"3,777,581,430",0.032
2022-08-14,23816,23175,24234,23160,197940.0,"4,714,139,040",-0.005
2022-08-21,24101,24303,25205,23784,279280.0,"6,730,927,280",0.049
2022-08-28,21416,21516,21517,20912,251830.0,"5,393,191,280",-0.115
2022-09-04,20295,19551,20394,19551,248040.0,"5,033,971,800",-0.091
2022-09-11,19793,19999,20042,19650,238710.0,"4,724,787,030",0.023
2022-09-18,22395,21836,22465,21581,431980.0,"9,674,192,100",0.092
2022-09-25,19538,19417,19666,18277,423430.0,"8,272,975,340",-0.111
2022-10-02,19225,18803,19304,18695,516030.0,"9,920,676,750",-0.032
2022-10-09,19628,19057,19676,19001,333030.0,"6,536,712,840",0.014
2022-10-16,19134,19441,19520,19057,243770.0,"4,664,295,180",0.02
2022-10-23,19548,19262,19663,19163,248400.0,"4,855,723,200",-0.009
2022-10-30,19331,19571,19588,19177,286940.0,"5,546,837,140",0.016
2022-11-06,20496,20626,20822,20260,327470.0,"6,711,825,120",0.054
2022-11-13,20589,20916,21055,20410,414240.0,"8,528,787,360",0.014
2022-11-20,16613,16325,17158,15834,442460.0,"7,350,587,980",-0.219
2022-11-27,15776,16278,16287,15504,372150.0,"5,871,038,400",-0.003
2022-12-04,16211,16426,16481,16013,284840.0,"4,617,541,240",0.009
2022-12-11,16966,17106,17395,16886,268720.0,"4,559,103,520",0.041
2022-12-18,17210,17093,17232,16878,249390.0,"4,292,001,900",-0.001
2022-12-25,16441,16741,16809,16331,207930.0,"3,418,577,130",-0.021
2023-01-01,16918,16831,16936,16799,133360.0,"2,256,184,480",0.005
2023-01-08,16674,16618,16766,16551,136030.0,"2,268,164,220",-0.013
2023-01-15,17180,17119,17390,17107,301240.0,"5,175,303,200",0.03
2023-01-22,21184,20880,21416,20698,337460.0,"7,148,752,640",0.22
2023-01-29,22915,22709,23161,22527,327850.0,"7,512,682,750",0.088
2023-02-05,22832,23746,23794,22560,339620.0,"7,754,203,840",0.046
2023-02-12,22761,22936,23130,22633,278580.0,"6,340,759,380",-0.034
2023-02-19,21772,21782,21887,21418,312040.0,"6,793,734,880",-0.05
2023-02-26,24839,24302,25085,23868,363020.0,"9,017,053,780",0.116
2023-03-05,23494,23558,23876,23166,297650.0,"6,992,989,100",-0.031
2023-03-12,22410,22428,22595,22320,215310.0,"4,825,097,100",-0.048
2023-03-19,24114,21994,24406,21859,733630.0,"17,690,753,820",-0.019
2023-03-26,27720,27958,28457,27157,503900.0,"13,968,108,000",0.271
2023-04-02,27129,27974,28023,26611,107240.0,"2,909,313,960",0.001
2023-04-09,27802,28194,28458,27256,98000.0,"2,724,596,000",0.008
2023-04-16,29641,28326,29755,28182,85730.0,"2,541,122,930",0.005
2023-04-23,29434,30310,30312,29274,71900.0,"2,116,304,600",0.07
2023-04-30,27509,27591,27978,27054,66740.0,"1,835,950,660",-0.09
2023-05-07,28077,29252,29329,27685,84360.0,"2,368,575,720",0.06
2023-05-14,27670,28424,28627,27280,85720.0,"2,371,872,400",-0.028
2023-05-21,27183,26920,27651,26752,53270.0,"1,448,038,410",-0.053
2023-05-28,26847,26749,27048,26546,35560.0,"954,679,320",-0.006
2023-06-04,27739,28068,28431,27548,54560.0,"1,513,439,840",0.049
2023-06-11,25747,27122,27125,25437,85420.0,"2,199,308,740",-0.034
2023-06-18,25906,25927,26080,25635,40750.0,"1,055,669,500",-0.044
2023-06-25,26845,26339,27029,26295,46450.0,"1,246,950,250",0.016
2023-07-02,30267,30466,30645,29986,58710.0,"1,776,975,570",0.157
2023-07-09,31151,30617,31377,30581,56490.0,"1,759,719,990",0.005
2023-07-16,30415,30166,31019,29969,55240.0,"1,680,124,600",-0.015
2023-07-23,30139,30235,30335,29693,42840.0,"1,291,154,760",0.002
2023-07-30,29178,30085,30098,28890,55730.0,"1,626,089,940",-0.005
2023-08-06,29232,29282,29502,29128,31840.0,"930,746,880",-0.027
2023-08-13,29204,29081,29270,28721,41190.0,"1,202,912,760",-0.007
2023-08-20,29426,29300,29689,29116,39300.0,"1,156,441,800",0.008
2023-08-27,26126,26190,26220,25850,41100.0,"1,073,778,600",-0.106
2023-09-03,26118,26100,26215,25891,28840.0,"753,243,120",-0.003
2023-09-10,25823,25971,26094,25660,27130.0,"700,577,990",-0.005
2023-09-17,25166,25840,25897,24923,56320.0,"1,417,349,120",-0.005
2023-09-24,26763,26530,27413,26405,63350.0,"1,695,436,050",0.027
2023-10-01,26302,26251,26423,26013,38200.0,"1,004,736,400",-0.011
2023-10-08,27505,27974,28556,27325,84300.0,"2,318,671,500",0.066
2023-10-15,27581,27922,27986,27279,44810.0,"1,235,904,610",-0.002
2023-10-22,28509,27161,29969,27119,119180.0,"3,397,702,620",-0.027
2023-10-29,33041,29984,34375,29891,133460.0,"4,409,651,860",0.104
2023-11-05,34477,34526,34853,34089,45200.0,"1,558,360,400",0.151
2023-11-12,35042,35020,35275,34742,29810.0,"1,044,602,020",0.014
2023-11-19,36478,37067,37404,36358,44550.0,"1,625,094,900",0.058
2023-11-26,37454,37356,37735,36857,51800.0,"1,940,117,200",0.008
2023-12-03,37248,37451,37563,36751,45240.0,"1,685,099,520",0.003
2023-12-10,41987,39968,42394,39968,104210.0,"4,375,465,270",0.067
2023-12-17,41256,43791,43806,40277,105190.0,"4,339,718,640",0.096
2023-12-24,42659,41369,42728,40554,61580.0,"2,626,941,220",-0.055
2023-12-31,43578,42982,43792,42745,32670.0,"1,423,693,260",0.039
2024-01-07,44183,42272,44187,42196,36300.0,"1,603,842,900",-0.017
2024-01-14,46962,43934,47196,43251,103090.0,"4,841,312,580",0.039
2024-01-21,42510,41747,43348,41719,52080.0,"2,213,920,800",-0.05
2024-01-28,39556,41581,41684,39468,85100.0,"3,366,215,600",-0.004
2024-02-04,43299,42031,43305,41824,45230.0,"1,958,413,770",0.011
2024-02-11,42697,42581,43532,42272,39260.0,"1,676,284,220",0.013
2024-02-18,49941,48280,50277,47729,81850.0,"4,087,670,850",0.134
2024-02-25,51783,52119,52484,51694,36730.0,"1,901,989,590",0.08
2024-03-03,54495,51722,54899,50925,78050.0,"4,253,334,750",-0.008
2024-03-10,68270,63135,68495,62746,130860.00000000001,"8,933,812,200",0.221
2024-03-17,72099,68964,72771,67452,114720.0,"8,271,197,280",0.092
2024-03-24,67594,68389,68920,66601,78070.0,"5,277,063,580",-0.008
